path,kind,size_bytes,sha256,supports_questions
evidence/raw/count-twig_raw.txt,raw_command_output,4087,6bbea50d71eb5825149b2a1fe3f7136561d1f50663621c6bac7b434ad3636d00,Q67
evidence/raw/count-xforwardedfor.txt,raw_command_output,1609,b102f7f961577bf296699f25b248658ca1e21830d144b511c13594623ddc4656,Q42;Q6
evidence/raw/diff-HEAD-vs-upstream-master.txt,raw_command_output,20132,65ea8a05dc3bc2bd8a1577991ccc80c39a731aa134feaf43f96576864259e475,Q1
evidence/raw/diff-HEAD-vs-v8_2_0.txt,raw_command_output,5523,d3f87a4eb911da2962b242a37b97d1ecbfed1d1e995ad05946d14ed769499183,Q1
evidence/raw/diffstat-full-HEAD-vs-upstream-master.txt,raw_command_output,27532,ad000e9b89978da3de8cba4e7268491ac70bdffdd5438c56efda95f00c90194f,Q1
evidence/raw/diffstat-HEAD-vs-upstream-master.txt,raw_command_output,27532,ad000e9b89978da3de8cba4e7268491ac70bdffdd5438c56efda95f00c90194f,Q1
evidence/raw/diffstat-HEAD-vs-v8_2_0.txt,raw_command_output,7647,99254f17853290fe7be8f2e1fddfe46f77f3c5759616630419fda4d15f6abb62,Q1
evidence/raw/drift-summary-stats.txt,raw_command_output,1638,8cd3730dddc718c7a283fac3879ed8d4dd351dda74cfe5e6703ec4a15b86f4bc,Q1;Q36
evidence/raw/drift-verification-paths.txt,raw_command_output,971,3b734e0aea3c7a6883fc6710bcccebd93f5345f71cded33f3002844fca5e9b34,Q1;Q36
evidence/raw/drift-verification-sample.txt,raw_command_output,7296,07b2573ef3b588a836aceff45676e44ee6494397502a968f640fb59ce8713892,Q1;Q36
evidence/raw/dwv-0.27.1.tgz,raw_command_output,438030,1c0e40a007369a128be529d3fb9b7a8df7ffcacd9b7363651f9205b6fde4acfd,Q61;Q71
evidence/raw/dwv-locales-extracted/de/overlays.json,raw_command_output,3092,f5381657dcf8dd3a6fe28262aa8308a0abd40f3bf48ce58f81298bd69e6fcc9e,(supporting)
evidence/raw/dwv-locales-extracted/de/translation.json,raw_command_output,9836,e0be4031833a5e49f705f15df572a28c7d5ecbf2a1771354f3846204b2fe85f9,(supporting)
evidence/raw/dwv-locales-extracted/en/overlays.json,raw_command_output,3083,0d7e9eb1296c31b4a3bf91137598b8948154fe3833c091b0888fd8b72788feb4,(supporting)
evidence/raw/dwv-locales-extracted/en/translation.json,raw_command_output,8553,ad5275c04e765ec321fc6476740689a6cd6ab72e52956467b178dc97f3a23f75,(supporting)
evidence/raw/dwv-locales-extracted/es/overlays.json,raw_command_output,3083,0d7e9eb1296c31b4a3bf91137598b8948154fe3833c091b0888fd8b72788feb4,(supporting)
evidence/raw/dwv-locales-extracted/es/translation.json,raw_command_output,8913,1fd01276023294332341bc3eb5b216773173c5ba7b8884de1f8758eb4548273b,(supporting)
evidence/raw/dwv-locales-extracted/fr/overlays.json,raw_command_output,3086,f531871ed56b16b00bda48eff7a4679ff06b416989f3fd3f79ff36e2be1a406c,(supporting)
evidence/raw/dwv-locales-extracted/fr/translation.json,raw_command_output,9162,40ac25700dc627765dbcac9b5033a1ed78f2f2da02b303590e5dbc54d4890576,(supporting)
evidence/raw/dwv-locales-extracted/it/overlays.json,raw_command_output,3086,9d677d9e248aafc2d572fbf91e4f8c3da0cf05140afdeedcba4dfdaa2ea621c1,(supporting)
evidence/raw/dwv-locales-extracted/it/translation.json,raw_command_output,8771,c02be7074fe0feabdd2eaa01db83d162e063df0c1fdfab379dffd89a63251dcb,(supporting)
evidence/raw/dwv-locales-extracted/jp/overlays.json,raw_command_output,3083,0d7e9eb1296c31b4a3bf91137598b8948154fe3833c091b0888fd8b72788feb4,(supporting)
evidence/raw/dwv-locales-extracted/jp/translation.json,raw_command_output,10604,5d79506ed749fbae6c53b8ca666dd85296e1e8f0c9b2ce7e9967ad61d2a2ff0a,(supporting)
evidence/raw/dwv-locales-extracted/ro/overlays.json,raw_command_output,3083,0d7e9eb1296c31b4a3bf91137598b8948154fe3833c091b0888fd8b72788feb4,(supporting)
