path,change_type,added_lines,deleted_lines,fork_blob_sha,upstream_blob_sha,classification,likely_core_modification,owner_if_detectable,upstream_pr_if_detectable,reason_if_detectable,risk_on_upgrade,manual_review_required
ccdaservice/oe-blue-button-generate/lib/fieldLevel.js,M,128,38,4872730ea01d8a23ecca5d2d9aa8fd70f72de71b,09d536e054fbe18c9561b259bd2dda0cfc69bc01,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/oe-blue-button-generate/lib/headerLevel.js,M,80,101,4f8a0e999c6d10842316e5fe6d0a5553cb80cb82,6ffb3abc32e2acd9aefcf8009c4312368f3fdb51,upstream_unmodified,FALSE,upstream,#12765,fix(ccda): CCDA to pass ONC USCDI V3 test scenarios. (#12765),LOW,FALSE
ccdaservice/oe-blue-button-generate/lib/leafLevel.js,M,28,0,7a4c34cac29763c52207db0f808bc71704bd9d83,5e7791fdeff9f3b04976c6b5548cf6d3da469f73,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/oe-blue-button-generate/lib/sectionLevel2.js,M,0,1,0a3c711f14704937116433a1b24958662fe36ccf,0a791c14708535dc366db33d2b71cbde685d28f6,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/oe-blue-button-generate/lib/translate.js,M,7,1,1f1eedd607db2011af1088b3c064d9cd9e6d001f,0413346b02367abc74b446cb464e6c802d3ecce3,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/package-lock.json,M,12,12,64360fe3c8d83e17d052cb11f08e6b5f913b0232,7029bf4b6ba67d7784752ec060d8c808794f96a1,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/package.json,M,1,1,1abc49c8a22fdbe5a0d96e3b5998100434a497af,faab5a8441f8f52a66010448ee7c6ac7e9a2c353,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/packages/oe-cda-schematron/package.json,M,1,1,5ab147c24216788eb0bdc352de35f07527772cc8,0b300fde13e8964054e54ec105eb1c201bc78284,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/packages/oe-cqm-service/package.json,M,1,1,3f5767fbff58659683e21afe774f80a93816d91d,6a086f4a28ebf85844adb0b6d315cf860dd5fe1e,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/serveccda.js,M,47,47,4217d44bf996ada0188fcedb66ad6d35cf34abdb,2e6e47fcfc2a7b767c4fc968c0f89adfb00cad7b,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/utils/date/date.js,M,5,3,e64015ab06658cf178d12dc6d4c011fd44574114,65a0adfdcd61fbfc077e2425d1b48e5665478024,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/utils/date/date.spec.js,M,0,3,7e3e2491dc182b2a0a3cba60f5d877058dba122c,38c9641ecc55a25f9f1c557cd3f598b06b275f9d,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/utils/demographics/populate-demographics.mock.js,M,1,1,3bfab5541251f7f63448f68c93e2874582ab06d1,4d61166a4d89cf111d8263030400c72f5aa303a6,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/utils/demographics/previous-addresses.mock.js,M,1,1,7bf46180aa0b8a0a47280a4489bf183f268e2489,b2809c15a136fbb9e05ee2034970f68b25d0fde0,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccdaservice/utils/providers/providers.mock.js,M,1,1,36ab295c7c47c923aba34c6ed4a4dc542ff1e22d,78f1b88788428eb92e64c7021b5dd2e4762eac4c,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccr/createCCR.php,M,6,6,8cf58b96225ee21d34ac453ca1580ff9b8aca447,d03a0ab2461c1d7a77b344351956f7933490ef2e,upstream_unmodified,FALSE,upstream,#12953,refactor: remove getUuid to ServiceContainer (#12953),LOW,FALSE
ccr/createCCRActor.php,M,3,1,b472ea4a68a9d032720697d5237b69157728a4de,7e1b951d98e23ac67343feb890875fd4f36fdec7,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccr/createCCRAlerts.php,M,4,2,74f5a5d458e2dfc246a435edf37e83d867d45cf3,74ddb5052242d6110d9596711c0688c2e04fc5f1,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccr/createCCRHeader.php,M,3,1,e889a8cf648f41b9e55ec9f6dbe372b13cc6c131,dded814331e55e9ba555b0f23349c93e8b97105b,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccr/createCCRImmunization.php,M,3,1,6a810c6131ac8c2cbdd924ebe378d02fa55d814a,d04b9642eab416a1a70e805c3a4fde02f9e7a149,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccr/createCCRMedication.php,M,3,1,315eb957520377bd4e9387b505fc0d064b945c58,1fa8dc44911e41404771864592ba8f47ba5e9f16,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccr/createCCRProcedure.php,M,3,1,b7f6d5f347c4146d9b8da2a73ff20ce63a8f97bc,45c4ad80d291ffe08e2ae6b388c1c4ef62bbbf75,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccr/createCCRResult.php,M,5,3,a9e4f2ba79f886ab45173d264abf5d0d59228d42,5d7f9ddc48e03cfb7729622171cd257d5c238a2b,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ccr/uuid.php,D,0,25,7ac6d4de069241c7431e81e661edeb876d9f74ea,,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ci/apache_82_118/docker-compose.yml,M,1,1,bc67c6765803c85aab2d8f23878ab08c540a819f,f3e8900212903b944a15abfca09ea16faaa83e20,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ci/apache_82_118_redis_sentinel_mtls/docker-compose.yml,M,1,1,5f97ac3d8124184bf790477e48a72a5389cfea07,0dfe0dd571ee019b1e7831476fc381f299942323,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ci/apache_82_118_upgrade/docker-compose.yml,M,1,1,bc67c6765803c85aab2d8f23878ab08c540a819f,f3e8900212903b944a15abfca09ea16faaa83e20,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ci/apache_83_118/docker-compose.yml,M,1,1,19a586257601bc96006bdfbed57d85f3b6ced127,264047dcb35de8916961acf8f9b14d17fe009794,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ci/apache_84_118/docker-compose.yml,M,1,1,fdfa72760b4b59ed5e2c9694a80262e7047f174b,0a2607d8450a0630b0976a61021441170e918d49,upstream_unmodified,FALSE,upstream,,,LOW,FALSE
ci/apache_85_1011/docker-compose.yml,M,1,1,f060a2a75be2c003d49d7dc87598ba321110719f,c0c916c3120c25f3373e2fba6a892d24cd05ddd0,upstream_unmodified,FALSE,upstream,#12830,chore(deps): bump the openemr-images group across 19 directories with 1 update (#12830),LOW,FALSE
